date,chung khoan
2022-11-29,80.0
2022-11-30,77.0
2022-12-01,91.0
2022-12-02,81.0
2022-12-03,19.0
2022-12-04,17.0
2022-12-05,89.0
2022-12-06,91.0
2022-12-07,100.0
2022-12-08,90.0
2022-12-09,74.0
2022-12-10,16.0
2022-12-11,15.0
2022-12-12,91.0
2022-12-13,79.0
2022-12-14,81.0
2022-12-15,92.0
2022-12-16,84.0
2022-12-17,17.0
2022-12-18,11.0
2022-12-19,90.0
2022-12-20,83.0
2022-12-21,78.0
2022-12-22,83.0
2022-12-23,75.0
2022-12-24,14.0
2022-12-25,15.0
2022-12-26,80.0
2022-12-27,76.0
2022-12-28,72.0
2022-12-29,67.0
2022-12-30,65.0
2022-12-31,9.0
2023-01-01,7.0
2023-01-02,15.0
2023-01-03,64.0
2023-01-04,74.0
2023-01-05,72.0
2023-01-06,65.0
2023-01-07,14.0
2023-01-08,12.0
2023-01-09,71.0
2023-01-10,71.0
2023-01-11,69.0
2023-01-12,68.0
2023-01-13,62.0
2023-01-14,12.0
2023-01-15,10.0
2023-01-16,71.0
2023-01-17,72.0
2023-01-18,80.0
2023-01-19,64.0
2023-01-20,17.0
2023-01-21,10.0
2023-01-22,11.0
2023-01-23,10.0
2023-01-24,26.0
2023-01-25,19.0
2023-01-26,21.0
2023-01-27,75.0
2023-01-28,19.0
2023-01-29,13.0
2023-01-30,78.0
2023-01-31,85.0
2023-02-01,88.0
2023-02-02,76.0
2023-02-03,73.0
2023-02-04,18.0
2023-02-05,13.0
2023-02-06,73.0
2023-02-07,65.0
2023-02-08,74.0
2023-02-09,74.0
2023-02-10,67.0
2023-02-11,10.0
2023-02-12,7.0
2023-02-13,71.0
2023-02-14,69.0
2023-02-15,71.0
2023-02-16,70.0
2023-02-17,66.0
2023-02-18,12.0
2023-02-19,11.0
2023-02-20,81.0
2023-02-21,85.0
2023-02-22,82.0
2023-02-23,74.0
2023-02-24,71.0
2023-02-25,12.0
2023-02-26,14.0
2023-02-27,81.0
2023-02-28,71.0
2023-03-01,70.0
2023-03-02,66.0
2023-03-03,67.0
2023-03-04,12.0
2023-03-05,13.0
2023-03-06,65.0
2023-03-07,62.0
2023-03-08,72.0
2023-03-09,72.0
2023-03-10,76.0
2023-03-11,15.0
2023-03-12,14.0
2023-03-13,68.0
2023-03-14,77.0
2023-03-15,72.0
2023-03-16,74.0
2023-03-17,73.0
2023-03-18,12.0
2023-03-19,11.0
2023-03-20,78.0
2023-03-21,66.0
2023-03-22,74.0
2023-03-23,67.0
2023-03-24,68.0
2023-03-25,12.0
2023-03-26,12.0
2023-03-27,72.0
2023-03-28,71.0
2023-03-29,74.0
2023-03-30,74.0
2023-03-31,62.0
2023-04-01,13.0
2023-04-02,13.0
2023-04-03,75.0
2023-04-04,71.0
2023-04-05,75.0
2023-04-06,78.0
2023-04-07,71.0
2023-04-08,12.0
2023-04-09,12.0
2023-04-10,76.0
2023-04-11,69.0
2023-04-12,69.0
2023-04-13,69.0
2023-04-14,64.0
2023-04-15,14.0
2023-04-16,9.0
2023-04-17,68.0
2023-04-18,59.0
2023-04-19,58.0
2023-04-20,63.0
2023-04-21,57.0
2023-04-22,13.0
2023-04-23,11.0
2023-04-24,66.0
2023-04-25,57.0
2023-04-26,67.0
2023-04-27,56.0
2023-04-28,53.0
2023-04-29,11.0
2023-04-30,8.0
2023-05-01,17.0
2023-05-02,20.0
2023-05-03,21.0
2023-05-04,61.0
2023-05-05,60.0
2023-05-06,12.0
2023-05-07,8.0
2023-05-08,59.0
2023-05-09,61.0
2023-05-10,60.0
2023-05-11,65.0
2023-05-12,69.0
2023-05-13,14.0
2023-05-14,17.0
2023-05-15,69.0
2023-05-16,59.0
2023-05-17,70.0
2023-05-18,67.0
2023-05-19,61.0
2023-05-20,11.0
2023-05-21,11.0
2023-05-22,69.0
2023-05-23,68.0
2023-05-24,66.0
2023-05-25,65.0
2023-05-26,62.0
2023-05-27,13.0
2023-05-28,9.0
2023-05-29,65.0
2023-05-30,77.0
2023-05-31,79.0
2023-06-01,76.0
2023-06-02,65.0
2023-06-03,19.0
2023-06-04,14.0
2023-06-05,66.0
2023-06-06,76.0
2023-06-07,71.0
2023-06-08,81.0
2023-06-09,65.0
2023-06-10,14.0
2023-06-11,12.0
2023-06-12,73.0
2023-06-13,80.0
2023-06-14,69.0
2023-06-15,65.0
2023-06-16,59.0
2023-06-17,14.0
2023-06-18,14.0
2023-06-19,65.0
2023-06-20,65.0
2023-06-21,70.0
2023-06-22,71.0
2023-06-23,71.0
2023-06-24,14.0
2023-06-25,13.0
2023-06-26,76.0
2023-06-27,76.0
2023-06-28,66.0
2023-06-29,58.0
2023-06-30,62.0
2023-07-01,11.0
2023-07-02,15.0
2023-07-03,69.0
2023-07-04,57.0
2023-07-05,66.0
2023-07-06,74.0
2023-07-07,54.0
2023-07-08,17.0
2023-07-09,12.0
2023-07-10,73.0
2023-07-11,72.0
2023-07-12,71.0
2023-07-13,67.0
2023-07-14,65.0
2023-07-15,16.0
2023-07-16,12.0
2023-07-17,66.0
2023-07-18,57.0
2023-07-19,68.0
2023-07-20,67.0
2023-07-21,68.0
2023-07-22,17.0
2023-07-23,15.0
2023-07-24,71.0
2023-07-25,64.0
2023-07-26,73.0
