date,chung khoan
2016-02-08,5.0
2016-02-09,8.0
2016-02-10,12.0
2016-02-11,11.0
2016-02-12,17.0
2016-02-13,13.0
2016-02-14,16.0
2016-02-15,77.0
2016-02-16,82.0
2016-02-17,87.0
2016-02-18,82.0
2016-02-19,67.0
2016-02-20,20.0
2016-02-21,16.0
2016-02-22,83.0
2016-02-23,84.0
2016-02-24,87.0
2016-02-25,77.0
2016-02-26,77.0
2016-02-27,25.0
2016-02-28,23.0
2016-02-29,100.0
2016-03-01,82.0
2016-03-02,81.0
2016-03-03,80.0
2016-03-04,85.0
2016-03-05,21.0
2016-03-06,20.0
2016-03-07,89.0
2016-03-08,82.0
2016-03-09,74.0
2016-03-10,79.0
2016-03-11,81.0
2016-03-12,26.0
2016-03-13,18.0
2016-03-14,84.0
2016-03-15,82.0
2016-03-16,80.0
2016-03-17,80.0
2016-03-18,85.0
2016-03-19,21.0
2016-03-20,16.0
2016-03-21,85.0
2016-03-22,84.0
2016-03-23,82.0
2016-03-24,73.0
2016-03-25,72.0
2016-03-26,23.0
2016-03-27,20.0
2016-03-28,85.0
2016-03-29,82.0
2016-03-30,76.0
2016-03-31,76.0
2016-04-01,72.0
2016-04-02,18.0
2016-04-03,19.0
2016-04-04,83.0
2016-04-05,89.0
2016-04-06,79.0
2016-04-07,80.0
2016-04-08,79.0
2016-04-09,21.0
2016-04-10,16.0
2016-04-11,91.0
2016-04-12,90.0
2016-04-13,74.0
2016-04-14,91.0
2016-04-15,68.0
2016-04-16,15.0
2016-04-17,16.0
2016-04-18,24.0
2016-04-19,88.0
2016-04-20,81.0
2016-04-21,90.0
2016-04-22,84.0
2016-04-23,23.0
2016-04-24,19.0
2016-04-25,88.0
2016-04-26,88.0
2016-04-27,79.0
2016-04-28,79.0
2016-04-29,77.0
2016-04-30,15.0
2016-05-01,16.0
2016-05-02,17.0
2016-05-03,26.0
2016-05-04,81.0
2016-05-05,81.0
2016-05-06,75.0
2016-05-07,18.0
2016-05-08,16.0
2016-05-09,76.0
2016-05-10,73.0
2016-05-11,78.0
2016-05-12,79.0
2016-05-13,71.0
2016-05-14,15.0
2016-05-15,16.0
2016-05-16,71.0
2016-05-17,83.0
2016-05-18,84.0
2016-05-19,70.0
2016-05-20,72.0
2016-05-21,19.0
2016-05-22,19.0
2016-05-23,69.0
2016-05-24,69.0
2016-05-25,66.0
2016-05-26,69.0
2016-05-27,72.0
2016-05-28,17.0
2016-05-29,16.0
2016-05-30,76.0
2016-05-31,78.0
2016-06-01,78.0
2016-06-02,73.0
2016-06-03,70.0
2016-06-04,17.0
2016-06-05,18.0
2016-06-06,81.0
2016-06-07,73.0
2016-06-08,71.0
2016-06-09,72.0
2016-06-10,68.0
2016-06-11,14.0
2016-06-12,13.0
2016-06-13,66.0
2016-06-14,68.0
2016-06-15,63.0
2016-06-16,71.0
2016-06-17,71.0
2016-06-18,18.0
2016-06-19,15.0
2016-06-20,72.0
2016-06-21,70.0
2016-06-22,67.0
2016-06-23,71.0
2016-06-24,87.0
2016-06-25,21.0
2016-06-26,20.0
2016-06-27,84.0
2016-06-28,78.0
2016-06-29,84.0
2016-06-30,71.0
2016-07-01,66.0
2016-07-02,17.0
2016-07-03,14.0
2016-07-04,82.0
2016-07-05,85.0
2016-07-06,72.0
2016-07-07,75.0
2016-07-08,85.0
2016-07-09,23.0
2016-07-10,19.0
2016-07-11,88.0
2016-07-12,77.0
2016-07-13,95.0
2016-07-14,97.0
2016-07-15,85.0
2016-07-16,22.0
2016-07-17,17.0
2016-07-18,88.0
2016-07-19,82.0
2016-07-20,86.0
2016-07-21,85.0
2016-07-22,79.0
2016-07-23,18.0
2016-07-24,20.0
2016-07-25,77.0
2016-07-26,88.0
2016-07-27,76.0
2016-07-28,80.0
2016-07-29,81.0
2016-07-30,16.0
2016-07-31,14.0
2016-08-01,71.0
2016-08-02,75.0
2016-08-03,74.0
2016-08-04,71.0
2016-08-05,69.0
2016-08-06,15.0
2016-08-07,20.0
2016-08-08,75.0
2016-08-09,71.0
2016-08-10,79.0
2016-08-11,78.0
2016-08-12,76.0
2016-08-13,16.0
2016-08-14,14.0
2016-08-15,83.0
2016-08-16,78.0
2016-08-17,77.0
2016-08-18,78.0
2016-08-19,71.0
2016-08-20,18.0
2016-08-21,16.0
2016-08-22,79.0
2016-08-23,81.0
2016-08-24,79.0
2016-08-25,78.0
2016-08-26,70.0
2016-08-27,21.0
2016-08-28,14.0
2016-08-29,72.0
2016-08-30,77.0
2016-08-31,72.0
2016-09-01,77.0
2016-09-02,16.0
2016-09-03,18.0
2016-09-04,15.0
2016-09-05,73.0
2016-09-06,80.0
2016-09-07,78.0
2016-09-08,75.0
2016-09-09,84.0
2016-09-10,23.0
2016-09-11,17.0
2016-09-12,84.0
2016-09-13,77.0
2016-09-14,78.0
2016-09-15,73.0
2016-09-16,81.0
2016-09-17,20.0
2016-09-18,15.0
2016-09-19,81.0
2016-09-20,71.0
2016-09-21,70.0
2016-09-22,80.0
2016-09-23,74.0
2016-09-24,20.0
2016-09-25,14.0
2016-09-26,82.0
2016-09-27,79.0
2016-09-28,72.0
2016-09-29,85.0
2016-09-30,76.0
2016-10-01,20.0
2016-10-02,18.0
2016-10-03,81.0
2016-10-04,74.0
