date,dau tu
2017-06-05,86.0
2017-06-06,82.0
2017-06-07,90.0
2017-06-08,77.0
2017-06-09,79.0
2017-06-10,80.0
2017-06-11,78.0
2017-06-12,83.0
2017-06-13,81.0
2017-06-14,78.0
2017-06-15,78.0
2017-06-16,75.0
2017-06-17,71.0
2017-06-18,78.0
2017-06-19,94.0
2017-06-20,86.0
2017-06-21,87.0
2017-06-22,90.0
2017-06-23,81.0
2017-06-24,75.0
2017-06-25,84.0
2017-06-26,81.0
2017-06-27,92.0
2017-06-28,82.0
2017-06-29,82.0
2017-06-30,86.0
2017-07-01,81.0
2017-07-02,81.0
2017-07-03,92.0
2017-07-04,89.0
2017-07-05,87.0
2017-07-06,89.0
2017-07-07,85.0
2017-07-08,83.0
2017-07-09,81.0
2017-07-10,86.0
2017-07-11,90.0
2017-07-12,100.0
2017-07-13,83.0
2017-07-14,82.0
2017-07-15,82.0
2017-07-16,85.0
2017-07-17,81.0
2017-07-18,93.0
2017-07-19,90.0
2017-07-20,91.0
2017-07-21,82.0
2017-07-22,75.0
2017-07-23,70.0
2017-07-24,83.0
2017-07-25,83.0
2017-07-26,78.0
2017-07-27,85.0
2017-07-28,88.0
2017-07-29,83.0
2017-07-30,72.0
2017-07-31,81.0
2017-08-01,79.0
2017-08-02,75.0
2017-08-03,89.0
2017-08-04,85.0
2017-08-05,66.0
2017-08-06,78.0
2017-08-07,83.0
2017-08-08,83.0
2017-08-09,84.0
2017-08-10,80.0
2017-08-11,70.0
2017-08-12,69.0
2017-08-13,80.0
2017-08-14,85.0
2017-08-15,73.0
2017-08-16,80.0
2017-08-17,77.0
2017-08-18,78.0
2017-08-19,72.0
2017-08-20,67.0
2017-08-21,77.0
2017-08-22,79.0
2017-08-23,80.0
2017-08-24,75.0
2017-08-25,77.0
2017-08-26,67.0
2017-08-27,72.0
2017-08-28,73.0
2017-08-29,75.0
2017-08-30,82.0
2017-08-31,70.0
2017-09-01,70.0
2017-09-02,62.0
2017-09-03,66.0
2017-09-04,76.0
2017-09-05,76.0
2017-09-06,86.0
2017-09-07,84.0
2017-09-08,82.0
2017-09-09,70.0
2017-09-10,71.0
2017-09-11,80.0
2017-09-12,80.0
2017-09-13,82.0
2017-09-14,80.0
2017-09-15,69.0
2017-09-16,67.0
2017-09-17,63.0
2017-09-18,86.0
2017-09-19,86.0
2017-09-20,79.0
2017-09-21,76.0
2017-09-22,82.0
2017-09-23,66.0
2017-09-24,73.0
2017-09-25,81.0
2017-09-26,80.0
2017-09-27,85.0
2017-09-28,74.0
2017-09-29,76.0
2017-09-30,70.0
2017-10-01,66.0
2017-10-02,73.0
2017-10-03,80.0
2017-10-04,76.0
2017-10-05,80.0
2017-10-06,77.0
2017-10-07,62.0
2017-10-08,73.0
2017-10-09,82.0
2017-10-10,78.0
2017-10-11,80.0
2017-10-12,78.0
2017-10-13,86.0
2017-10-14,70.0
2017-10-15,77.0
2017-10-16,94.0
2017-10-17,88.0
2017-10-18,84.0
2017-10-19,91.0
2017-10-20,78.0
2017-10-21,73.0
2017-10-22,79.0
2017-10-23,83.0
2017-10-24,84.0
2017-10-25,89.0
2017-10-26,78.0
2017-10-27,78.0
2017-10-28,64.0
2017-10-29,74.0
2017-10-30,87.0
2017-10-31,79.0
2017-11-01,81.0
2017-11-02,82.0
2017-11-03,72.0
2017-11-04,65.0
2017-11-05,64.0
2017-11-06,76.0
2017-11-07,65.0
2017-11-08,81.0
2017-11-09,78.0
2017-11-10,71.0
2017-11-11,63.0
2017-11-12,65.0
2017-11-13,76.0
2017-11-14,80.0
2017-11-15,80.0
2017-11-16,73.0
2017-11-17,82.0
2017-11-18,61.0
2017-11-19,72.0
2017-11-20,70.0
2017-11-21,77.0
2017-11-22,81.0
2017-11-23,81.0
2017-11-24,64.0
2017-11-25,69.0
2017-11-26,77.0
2017-11-27,74.0
2017-11-28,77.0
2017-11-29,74.0
2017-11-30,81.0
2017-12-01,62.0
2017-12-02,68.0
2017-12-03,70.0
2017-12-04,86.0
2017-12-05,75.0
2017-12-06,82.0
2017-12-07,79.0
2017-12-08,76.0
2017-12-09,70.0
2017-12-10,66.0
2017-12-11,81.0
2017-12-12,78.0
2017-12-13,75.0
2017-12-14,82.0
2017-12-15,80.0
2017-12-16,67.0
2017-12-17,76.0
2017-12-18,78.0
2017-12-19,77.0
2017-12-20,84.0
2017-12-21,77.0
2017-12-22,71.0
2017-12-23,64.0
2017-12-24,64.0
2017-12-25,67.0
2017-12-26,74.0
2017-12-27,79.0
2017-12-28,70.0
2017-12-29,70.0
2017-12-30,65.0
2017-12-31,62.0
2018-01-01,65.0
2018-01-02,74.0
2018-01-03,82.0
2018-01-04,74.0
2018-01-05,71.0
2018-01-06,63.0
2018-01-07,66.0
2018-01-08,76.0
2018-01-09,68.0
2018-01-10,73.0
2018-01-11,60.0
2018-01-12,67.0
2018-01-13,67.0
2018-01-14,56.0
2018-01-15,67.0
2018-01-16,75.0
2018-01-17,83.0
2018-01-18,84.0
2018-01-19,87.0
2018-01-20,68.0
2018-01-21,63.0
2018-01-22,80.0
2018-01-23,50.0
2018-01-24,65.0
2018-01-25,66.0
2018-01-26,66.0
2018-01-27,51.0
2018-01-28,57.0
2018-01-29,72.0
2018-01-30,72.0
