date,co phieu
2018-01-17,87.0
2018-01-18,79.0
2018-01-19,86.0
2018-01-20,36.0
2018-01-21,23.0
2018-01-22,87.0
2018-01-23,70.0
2018-01-24,64.0
2018-01-25,88.0
2018-01-26,82.0
2018-01-27,25.0
2018-01-28,29.0
2018-01-29,96.0
2018-01-30,91.0
2018-01-31,92.0
2018-02-01,89.0
2018-02-02,73.0
2018-02-03,30.0
2018-02-04,21.0
2018-02-05,82.0
2018-02-06,100.0
2018-02-07,89.0
2018-02-08,74.0
2018-02-09,75.0
2018-02-10,26.0
2018-02-11,20.0
2018-02-12,76.0
2018-02-13,60.0
2018-02-14,19.0
2018-02-15,20.0
2018-02-16,0.0
2018-02-17,12.0
2018-02-18,25.0
2018-02-19,21.0
2018-02-20,30.0
2018-02-21,65.0
2018-02-22,76.0
2018-02-23,80.0
2018-02-24,32.0
2018-02-25,23.0
2018-02-26,79.0
2018-02-27,87.0
2018-02-28,84.0
2018-03-01,91.0
2018-03-02,78.0
2018-03-03,24.0
2018-03-04,27.0
2018-03-05,83.0
2018-03-06,84.0
2018-03-07,72.0
2018-03-08,75.0
2018-03-09,90.0
2018-03-10,35.0
2018-03-11,29.0
2018-03-12,89.0
2018-03-13,81.0
2018-03-14,85.0
2018-03-15,78.0
2018-03-16,85.0
2018-03-17,29.0
2018-03-18,26.0
2018-03-19,98.0
2018-03-20,93.0
2018-03-21,89.0
2018-03-22,86.0
2018-03-23,59.0
2018-03-24,36.0
2018-03-25,29.0
2018-03-26,83.0
2018-03-27,88.0
2018-03-28,78.0
2018-03-29,87.0
2018-03-30,75.0
2018-03-31,34.0
2018-04-01,30.0
2018-04-02,84.0
2018-04-03,83.0
2018-04-04,85.0
2018-04-05,82.0
2018-04-06,85.0
2018-04-07,34.0
2018-04-08,28.0
2018-04-09,97.0
2018-04-10,86.0
2018-04-11,80.0
2018-04-12,83.0
2018-04-13,72.0
2018-04-14,30.0
2018-04-15,32.0
2018-04-16,80.0
2018-04-17,89.0
2018-04-18,89.0
2018-04-19,82.0
2018-04-20,69.0
2018-04-21,27.0
2018-04-22,24.0
2018-04-23,90.0
2018-04-24,74.0
2018-04-25,27.0
2018-04-26,71.0
2018-04-27,73.0
2018-04-28,24.0
2018-04-29,25.0
2018-04-30,16.0
2018-05-01,21.0
2018-05-02,71.0
2018-05-03,67.0
2018-05-04,71.0
2018-05-05,22.0
2018-05-06,27.0
2018-05-07,80.0
2018-05-08,71.0
2018-05-09,66.0
2018-05-10,73.0
2018-05-11,73.0
2018-05-12,22.0
2018-05-13,21.0
2018-05-14,63.0
2018-05-15,71.0
2018-05-16,73.0
2018-05-17,70.0
2018-05-18,69.0
2018-05-19,17.0
2018-05-20,12.0
2018-05-21,73.0
2018-05-22,75.0
2018-05-23,66.0
2018-05-24,68.0
2018-05-25,70.0
2018-05-26,25.0
2018-05-27,20.0
2018-05-28,79.0
2018-05-29,72.0
2018-05-30,76.0
2018-05-31,77.0
2018-06-01,74.0
2018-06-02,26.0
2018-06-03,26.0
2018-06-04,79.0
2018-06-05,77.0
2018-06-06,78.0
2018-06-07,84.0
2018-06-08,72.0
2018-06-09,29.0
2018-06-10,21.0
2018-06-11,69.0
2018-06-12,69.0
2018-06-13,60.0
2018-06-14,54.0
2018-06-15,55.0
2018-06-16,20.0
2018-06-17,11.0
2018-06-18,46.0
2018-06-19,66.0
2018-06-20,60.0
2018-06-21,42.0
2018-06-22,43.0
2018-06-23,19.0
2018-06-24,12.0
2018-06-25,60.0
2018-06-26,44.0
2018-06-27,40.0
2018-06-28,54.0
2018-06-29,55.0
2018-06-30,20.0
2018-07-01,17.0
2018-07-02,55.0
2018-07-03,45.0
2018-07-04,58.0
2018-07-05,68.0
2018-07-06,58.0
2018-07-07,17.0
2018-07-08,22.0
2018-07-09,66.0
2018-07-10,59.0
2018-07-11,49.0
2018-07-12,63.0
2018-07-13,57.0
2018-07-14,17.0
2018-07-15,15.0
2018-07-16,70.0
2018-07-17,60.0
2018-07-18,69.0
2018-07-19,70.0
2018-07-20,65.0
2018-07-21,27.0
2018-07-22,21.0
2018-07-23,75.0
2018-07-24,61.0
2018-07-25,67.0
2018-07-26,62.0
2018-07-27,54.0
2018-07-28,27.0
2018-07-29,21.0
2018-07-30,60.0
2018-07-31,66.0
2018-08-01,71.0
2018-08-02,69.0
2018-08-03,77.0
2018-08-04,31.0
2018-08-05,18.0
2018-08-06,65.0
2018-08-07,67.0
2018-08-08,63.0
2018-08-09,68.0
2018-08-10,47.0
2018-08-11,23.0
2018-08-12,18.0
2018-08-13,61.0
2018-08-14,54.0
2018-08-15,65.0
2018-08-16,55.0
2018-08-17,59.0
2018-08-18,24.0
2018-08-19,13.0
2018-08-20,57.0
2018-08-21,59.0
2018-08-22,57.0
2018-08-23,58.0
2018-08-24,49.0
2018-08-25,15.0
2018-08-26,21.0
2018-08-27,55.0
2018-08-28,53.0
2018-08-29,41.0
2018-08-30,59.0
2018-08-31,51.0
2018-09-01,19.0
2018-09-02,13.0
2018-09-03,24.0
2018-09-04,56.0
2018-09-05,55.0
2018-09-06,61.0
2018-09-07,62.0
2018-09-08,22.0
2018-09-09,23.0
2018-09-10,59.0
2018-09-11,61.0
2018-09-12,67.0
2018-09-13,66.0
