date,chung khoan
2016-03-10,81.0
2016-03-11,83.0
2016-03-12,27.0
2016-03-13,19.0
2016-03-14,87.0
2016-03-15,84.0
2016-03-16,82.0
2016-03-17,82.0
2016-03-18,88.0
2016-03-19,22.0
2016-03-20,16.0
2016-03-21,87.0
2016-03-22,87.0
2016-03-23,85.0
2016-03-24,75.0
2016-03-25,75.0
2016-03-26,23.0
2016-03-27,21.0
2016-03-28,88.0
2016-03-29,85.0
2016-03-30,78.0
2016-03-31,79.0
2016-04-01,74.0
2016-04-02,19.0
2016-04-03,19.0
2016-04-04,86.0
2016-04-05,92.0
2016-04-06,81.0
2016-04-07,83.0
2016-04-08,82.0
2016-04-09,21.0
2016-04-10,16.0
2016-04-11,94.0
2016-04-12,93.0
2016-04-13,76.0
2016-04-14,94.0
2016-04-15,70.0
2016-04-16,16.0
2016-04-17,16.0
2016-04-18,25.0
2016-04-19,91.0
2016-04-20,83.0
2016-04-21,92.0
2016-04-22,86.0
2016-04-23,24.0
2016-04-24,20.0
2016-04-25,91.0
2016-04-26,90.0
2016-04-27,82.0
2016-04-28,82.0
2016-04-29,80.0
2016-04-30,15.0
2016-05-01,17.0
2016-05-02,18.0
2016-05-03,27.0
2016-05-04,83.0
2016-05-05,84.0
2016-05-06,77.0
2016-05-07,19.0
2016-05-08,17.0
2016-05-09,79.0
2016-05-10,76.0
2016-05-11,81.0
2016-05-12,81.0
2016-05-13,74.0
2016-05-14,15.0
2016-05-15,17.0
2016-05-16,73.0
2016-05-17,86.0
2016-05-18,87.0
2016-05-19,72.0
2016-05-20,74.0
2016-05-21,20.0
2016-05-22,20.0
2016-05-23,71.0
2016-05-24,71.0
2016-05-25,68.0
2016-05-26,71.0
2016-05-27,74.0
2016-05-28,18.0
2016-05-29,16.0
2016-05-30,78.0
2016-05-31,80.0
2016-06-01,81.0
2016-06-02,76.0
2016-06-03,72.0
2016-06-04,17.0
2016-06-05,19.0
2016-06-06,83.0
2016-06-07,76.0
2016-06-08,73.0
2016-06-09,74.0
2016-06-10,70.0
2016-06-11,14.0
2016-06-12,13.0
2016-06-13,68.0
2016-06-14,70.0
2016-06-15,65.0
2016-06-16,73.0
2016-06-17,73.0
2016-06-18,19.0
2016-06-19,16.0
2016-06-20,75.0
2016-06-21,72.0
2016-06-22,69.0
2016-06-23,73.0
2016-06-24,90.0
2016-06-25,22.0
2016-06-26,21.0
2016-06-27,87.0
2016-06-28,80.0
2016-06-29,86.0
2016-06-30,73.0
2016-07-01,68.0
2016-07-02,18.0
2016-07-03,15.0
2016-07-04,85.0
2016-07-05,88.0
2016-07-06,74.0
2016-07-07,77.0
2016-07-08,88.0
2016-07-09,24.0
2016-07-10,19.0
2016-07-11,91.0
2016-07-12,80.0
2016-07-13,98.0
2016-07-14,100.0
2016-07-15,88.0
2016-07-16,22.0
2016-07-17,18.0
2016-07-18,91.0
2016-07-19,85.0
2016-07-20,89.0
2016-07-21,87.0
2016-07-22,82.0
2016-07-23,19.0
2016-07-24,21.0
2016-07-25,80.0
2016-07-26,91.0
2016-07-27,78.0
2016-07-28,83.0
2016-07-29,84.0
2016-07-30,16.0
2016-07-31,15.0
2016-08-01,73.0
2016-08-02,78.0
2016-08-03,76.0
2016-08-04,73.0
2016-08-05,71.0
2016-08-06,16.0
2016-08-07,20.0
2016-08-08,77.0
2016-08-09,73.0
2016-08-10,82.0
2016-08-11,81.0
2016-08-12,78.0
2016-08-13,16.0
2016-08-14,15.0
2016-08-15,85.0
2016-08-16,80.0
2016-08-17,79.0
2016-08-18,80.0
2016-08-19,73.0
2016-08-20,18.0
2016-08-21,16.0
2016-08-22,81.0
2016-08-23,84.0
2016-08-24,81.0
2016-08-25,81.0
2016-08-26,72.0
2016-08-27,22.0
2016-08-28,15.0
2016-08-29,74.0
2016-08-30,79.0
2016-08-31,74.0
2016-09-01,79.0
2016-09-02,16.0
2016-09-03,19.0
2016-09-04,16.0
2016-09-05,75.0
2016-09-06,83.0
2016-09-07,80.0
2016-09-08,77.0
2016-09-09,86.0
2016-09-10,24.0
2016-09-11,18.0
2016-09-12,86.0
2016-09-13,80.0
2016-09-14,80.0
2016-09-15,76.0
2016-09-16,84.0
2016-09-17,20.0
2016-09-18,15.0
2016-09-19,83.0
2016-09-20,73.0
2016-09-21,72.0
2016-09-22,82.0
2016-09-23,76.0
2016-09-24,21.0
2016-09-25,15.0
2016-09-26,85.0
2016-09-27,81.0
2016-09-28,75.0
2016-09-29,88.0
2016-09-30,78.0
2016-10-01,21.0
2016-10-02,19.0
2016-10-03,83.0
2016-10-04,76.0
2016-10-05,77.0
2016-10-06,75.0
2016-10-07,82.0
2016-10-08,23.0
2016-10-09,16.0
2016-10-10,83.0
2016-10-11,78.0
2016-10-12,81.0
2016-10-13,85.0
2016-10-14,78.0
2016-10-15,20.0
2016-10-16,16.0
2016-10-17,72.0
2016-10-18,77.0
2016-10-19,77.0
2016-10-20,72.0
2016-10-21,78.0
2016-10-22,24.0
2016-10-23,18.0
2016-10-24,74.0
2016-10-25,82.0
2016-10-26,75.0
2016-10-27,70.0
2016-10-28,73.0
2016-10-29,21.0
2016-10-30,15.0
2016-10-31,83.0
2016-11-01,82.0
2016-11-02,81.0
2016-11-03,83.0
2016-11-04,72.0
