date,dau tu
2025-06-21,54.0
2025-06-22,51.0
2025-06-23,61.0
2025-06-24,66.0
2025-06-25,81.0
2025-06-26,83.0
2025-06-27,70.0
2025-06-28,66.0
2025-06-29,45.0
2025-06-30,65.0
2025-07-01,84.0
2025-07-02,80.0
2025-07-03,100.0
2025-07-04,80.0
2025-07-05,67.0
2025-07-06,58.0
2025-07-07,71.0
2025-07-08,84.0
2025-07-09,83.0
2025-07-10,69.0
2025-07-11,78.0
2025-07-12,54.0
2025-07-13,54.0
2025-07-14,79.0
2025-07-15,78.0
2025-07-16,78.0
2025-07-17,89.0
2025-07-18,74.0
2025-07-19,66.0
2025-07-20,70.0
2025-07-21,69.0
2025-07-22,73.0
2025-07-23,74.0
2025-07-24,73.0
2025-07-25,79.0
2025-07-26,52.0
2025-07-27,51.0
2025-07-28,86.0
2025-07-29,73.0
2025-07-30,76.0
2025-07-31,70.0
2025-08-01,70.0
2025-08-02,50.0
2025-08-03,58.0
2025-08-04,85.0
2025-08-05,78.0
2025-08-06,76.0
2025-08-07,65.0
2025-08-08,68.0
2025-08-09,61.0
2025-08-10,61.0
2025-08-11,80.0
2025-08-12,78.0
2025-08-13,80.0
2025-08-14,69.0
2025-08-15,73.0
2025-08-16,57.0
2025-08-17,57.0
2025-08-18,80.0
2025-08-19,85.0
2025-08-20,76.0
2025-08-21,66.0
2025-08-22,56.0
2025-08-23,55.0
2025-08-24,69.0
2025-08-25,59.0
2025-08-26,82.0
2025-08-27,67.0
2025-08-28,58.0
2025-08-29,60.0
2025-08-30,45.0
2025-08-31,47.0
2025-09-01,64.0
2025-09-02,39.0
2025-09-03,85.0
2025-09-04,69.0
2025-09-05,61.0
2025-09-06,55.0
2025-09-07,59.0
2025-09-08,81.0
2025-09-09,77.0
2025-09-10,69.0
2025-09-11,82.0
2025-09-12,62.0
2025-09-13,48.0
2025-09-14,51.0
2025-09-15,83.0
2025-09-16,75.0
2025-09-17,61.0
2025-09-18,63.0
2025-09-19,68.0
2025-09-20,51.0
2025-09-21,54.0
2025-09-22,72.0
2025-09-23,65.0
2025-09-24,68.0
2025-09-25,80.0
2025-09-26,45.0
2025-09-27,56.0
2025-09-28,49.0
2025-09-29,65.0
2025-09-30,64.0
2025-10-01,56.0
2025-10-02,63.0
2025-10-03,72.0
2025-10-04,51.0
2025-10-05,51.0
2025-10-06,79.0
2025-10-07,64.0
2025-10-08,73.0
2025-10-09,67.0
2025-10-10,76.0
2025-10-11,47.0
2025-10-12,57.0
2025-10-13,77.0
2025-10-14,67.0
2025-10-15,73.0
2025-10-16,73.0
2025-10-17,60.0
2025-10-18,60.0
2025-10-19,55.0
2025-10-20,62.0
2025-10-21,53.0
2025-10-22,79.0
2025-10-23,72.0
2025-10-24,57.0
2025-10-25,64.0
2025-10-26,63.0
2025-10-27,70.0
2025-10-28,73.0
2025-10-29,83.0
2025-10-30,70.0
2025-10-31,67.0
2025-11-01,46.0
2025-11-02,51.0
2025-11-03,70.0
2025-11-04,70.0
2025-11-05,82.0
2025-11-06,64.0
2025-11-07,82.0
2025-11-08,63.0
2025-11-09,53.0
2025-11-10,66.0
2025-11-11,75.0
2025-11-12,55.0
2025-11-13,86.0
2025-11-14,85.0
2025-11-15,53.0
2025-11-16,59.0
2025-11-17,60.0
2025-11-18,66.0
2025-11-19,56.0
2025-11-20,63.0
2025-11-21,81.0
2025-11-22,50.0
2025-11-23,58.0
2025-11-24,60.0
2025-11-25,60.0
2025-11-26,56.0
2025-11-27,78.0
2025-11-28,85.0
2025-11-29,54.0
2025-11-30,53.0
2025-12-01,73.0
2025-12-02,72.0
2025-12-03,63.0
2025-12-04,57.0
2025-12-05,55.0
2025-12-06,59.0
2025-12-07,50.0
2025-12-08,80.0
2025-12-09,76.0
2025-12-10,86.0
2025-12-11,66.0
2025-12-12,55.0
2025-12-13,54.0
2025-12-14,53.0
2025-12-15,74.0
2025-12-16,60.0
2025-12-17,65.0
2025-12-18,59.0
2025-12-19,71.0
2025-12-20,45.0
2025-12-21,50.0
2025-12-22,80.0
2025-12-23,69.0
2025-12-24,78.0
2025-12-25,80.0
2025-12-26,66.0
2025-12-27,50.0
2025-12-28,66.0
2025-12-29,81.0
2025-12-30,77.0
2025-12-31,61.0
