date,co phieu
2014-05-02,47.0
2014-05-03,44.0
2014-05-04,32.0
2014-05-05,55.0
2014-05-06,61.0
2014-05-07,59.0
2014-05-08,63.0
2014-05-09,70.0
2014-05-10,42.0
2014-05-11,37.0
2014-05-12,64.0
2014-05-13,67.0
2014-05-14,66.0
2014-05-15,68.0
2014-05-16,60.0
2014-05-17,20.0
2014-05-18,26.0
2014-05-19,52.0
2014-05-20,66.0
2014-05-21,92.0
2014-05-22,67.0
2014-05-23,48.0
2014-05-24,51.0
2014-05-25,47.0
2014-05-26,66.0
2014-05-27,66.0
2014-05-28,66.0
2014-05-29,65.0
2014-05-30,66.0
2014-05-31,41.0
2014-06-01,35.0
2014-06-02,62.0
2014-06-03,61.0
2014-06-04,56.0
2014-06-05,42.0
2014-06-06,56.0
2014-06-07,36.0
2014-06-08,35.0
2014-06-09,60.0
2014-06-10,65.0
2014-06-11,75.0
2014-06-12,63.0
2014-06-13,50.0
2014-06-14,41.0
2014-06-15,38.0
2014-06-16,65.0
2014-06-17,57.0
2014-06-18,69.0
2014-06-19,56.0
2014-06-20,53.0
2014-06-21,45.0
2014-06-22,42.0
2014-06-23,43.0
2014-06-24,63.0
2014-06-25,47.0
2014-06-26,61.0
2014-06-27,59.0
2014-06-28,33.0
2014-06-29,36.0
2014-06-30,50.0
2014-07-01,35.0
2014-07-02,54.0
2014-07-03,49.0
2014-07-04,50.0
2014-07-05,46.0
2014-07-06,41.0
2014-07-07,56.0
2014-07-08,55.0
2014-07-09,58.0
2014-07-10,42.0
2014-07-11,49.0
2014-07-12,25.0
2014-07-13,24.0
2014-07-14,55.0
2014-07-15,64.0
2014-07-16,77.0
2014-07-17,78.0
2014-07-18,61.0
2014-07-19,45.0
2014-07-20,36.0
2014-07-21,60.0
2014-07-22,62.0
2014-07-23,71.0
2014-07-24,66.0
2014-07-25,69.0
2014-07-26,34.0
2014-07-27,42.0
2014-07-28,66.0
2014-07-29,52.0
2014-07-30,56.0
2014-07-31,56.0
2014-08-01,51.0
2014-08-02,36.0
2014-08-03,38.0
2014-08-04,56.0
2014-08-05,55.0
2014-08-06,57.0
2014-08-07,78.0
2014-08-08,64.0
2014-08-09,37.0
2014-08-10,40.0
2014-08-11,71.0
2014-08-12,77.0
2014-08-13,73.0
2014-08-14,61.0
2014-08-15,75.0
2014-08-16,47.0
2014-08-17,50.0
2014-08-18,75.0
2014-08-19,52.0
2014-08-20,76.0
2014-08-21,59.0
2014-08-22,60.0
2014-08-23,39.0
2014-08-24,42.0
2014-08-25,74.0
2014-08-26,79.0
2014-08-27,60.0
2014-08-28,77.0
2014-08-29,66.0
2014-08-30,45.0
2014-08-31,34.0
2014-09-01,50.0
2014-09-02,35.0
2014-09-03,82.0
2014-09-04,83.0
2014-09-05,73.0
2014-09-06,52.0
2014-09-07,40.0
2014-09-08,68.0
2014-09-09,64.0
2014-09-10,79.0
2014-09-11,92.0
2014-09-12,82.0
2014-09-13,42.0
2014-09-14,45.0
2014-09-15,77.0
2014-09-16,52.0
2014-09-17,85.0
2014-09-18,73.0
2014-09-19,56.0
2014-09-20,42.0
2014-09-21,58.0
2014-09-22,82.0
2014-09-23,74.0
2014-09-24,72.0
2014-09-25,65.0
2014-09-26,70.0
2014-09-27,54.0
2014-09-28,35.0
2014-09-29,79.0
2014-09-30,86.0
2014-10-01,80.0
2014-10-02,74.0
2014-10-03,75.0
2014-10-04,54.0
2014-10-05,47.0
2014-10-06,67.0
2014-10-07,87.0
2014-10-08,100.0
2014-10-09,72.0
2014-10-10,68.0
2014-10-11,38.0
2014-10-12,46.0
2014-10-13,82.0
2014-10-14,75.0
2014-10-15,79.0
2014-10-16,80.0
2014-10-17,69.0
2014-10-18,40.0
2014-10-19,47.0
2014-10-20,83.0
2014-10-21,84.0
2014-10-22,80.0
2014-10-23,71.0
2014-10-24,70.0
2014-10-25,44.0
2014-10-26,33.0
2014-10-27,87.0
2014-10-28,83.0
2014-10-29,71.0
2014-10-30,69.0
2014-10-31,70.0
2014-11-01,46.0
2014-11-02,49.0
2014-11-03,68.0
2014-11-04,75.0
2014-11-05,70.0
2014-11-06,69.0
2014-11-07,65.0
2014-11-08,45.0
2014-11-09,42.0
2014-11-10,84.0
2014-11-11,73.0
2014-11-12,78.0
2014-11-13,83.0
2014-11-14,76.0
2014-11-15,54.0
2014-11-16,51.0
2014-11-17,78.0
2014-11-18,82.0
2014-11-19,63.0
2014-11-20,71.0
2014-11-21,88.0
2014-11-22,47.0
2014-11-23,45.0
2014-11-24,56.0
2014-11-25,76.0
2014-11-26,65.0
2014-11-27,74.0
2014-11-28,68.0
2014-11-29,27.0
2014-11-30,43.0
2014-12-01,53.0
2014-12-02,80.0
2014-12-03,65.0
2014-12-04,66.0
2014-12-05,80.0
2014-12-06,37.0
2014-12-07,36.0
2014-12-08,75.0
2014-12-09,68.0
2014-12-10,59.0
2014-12-11,59.0
2014-12-12,67.0
2014-12-13,38.0
2014-12-14,42.0
2014-12-15,63.0
2014-12-16,70.0
2014-12-17,75.0
2014-12-18,58.0
2014-12-19,68.0
2014-12-20,27.0
2014-12-21,37.0
2014-12-22,72.0
2014-12-23,57.0
2014-12-24,59.0
2014-12-25,48.0
2014-12-26,55.0
2014-12-27,41.0
