date,co phieu
2011-10-10,48.0
2011-10-11,43.0
2011-10-12,54.0
2011-10-13,48.0
2011-10-14,40.0
2011-10-15,35.0
2011-10-16,33.0
2011-10-17,40.0
2011-10-18,48.0
2011-10-19,39.0
2011-10-20,34.0
2011-10-21,42.0
2011-10-22,32.0
2011-10-23,36.0
2011-10-24,39.0
2011-10-25,59.0
2011-10-26,48.0
2011-10-27,54.0
2011-10-28,43.0
2011-10-29,40.0
2011-10-30,32.0
2011-10-31,54.0
2011-11-01,61.0
2011-11-02,58.0
2011-11-03,45.0
2011-11-04,44.0
2011-11-05,38.0
2011-11-06,26.0
2011-11-07,39.0
2011-11-08,58.0
2011-11-09,40.0
2011-11-10,49.0
2011-11-11,42.0
2011-11-12,23.0
2011-11-13,17.0
2011-11-14,55.0
2011-11-15,55.0
2011-11-16,46.0
2011-11-17,48.0
2011-11-18,35.0
2011-11-19,28.0
2011-11-20,33.0
2011-11-21,59.0
2011-11-22,48.0
2011-11-23,59.0
2011-11-24,54.0
2011-11-25,42.0
2011-11-26,29.0
2011-11-27,33.0
2011-11-28,41.0
2011-11-29,45.0
2011-11-30,59.0
2011-12-01,48.0
2011-12-02,47.0
2011-12-03,42.0
2011-12-04,34.0
2011-12-05,46.0
2011-12-06,47.0
2011-12-07,59.0
2011-12-08,41.0
2011-12-09,44.0
2011-12-10,33.0
2011-12-11,43.0
2011-12-12,51.0
2011-12-13,38.0
2011-12-14,47.0
2011-12-15,35.0
2011-12-16,47.0
2011-12-17,36.0
2011-12-18,34.0
2011-12-19,44.0
2011-12-20,43.0
2011-12-21,46.0
2011-12-22,33.0
2011-12-23,46.0
2011-12-24,28.0
2011-12-25,34.0
2011-12-26,39.0
2011-12-27,36.0
2011-12-28,62.0
2011-12-29,47.0
2011-12-30,46.0
2011-12-31,19.0
2012-01-01,35.0
2012-01-02,30.0
2012-01-03,43.0
2012-01-04,44.0
2012-01-05,37.0
2012-01-06,32.0
2012-01-07,39.0
2012-01-08,31.0
2012-01-09,55.0
2012-01-10,39.0
2012-01-11,39.0
2012-01-12,33.0
2012-01-13,28.0
2012-01-14,20.0
2012-01-15,23.0
2012-01-16,32.0
2012-01-17,24.0
2012-01-18,22.0
2012-01-19,30.0
2012-01-20,34.0
2012-01-21,0.0
2012-01-22,0.0
2012-01-23,0.0
2012-01-24,18.0
2012-01-25,27.0
2012-01-26,35.0
2012-01-27,25.0
2012-01-28,21.0
2012-01-29,20.0
2012-01-30,34.0
2012-01-31,36.0
2012-02-01,37.0
2012-02-02,46.0
2012-02-03,30.0
2012-02-04,33.0
2012-02-05,34.0
2012-02-06,37.0
2012-02-07,39.0
2012-02-08,44.0
2012-02-09,41.0
2012-02-10,37.0
2012-02-11,35.0
2012-02-12,44.0
2012-02-13,49.0
2012-02-14,50.0
2012-02-15,50.0
2012-02-16,50.0
2012-02-17,45.0
2012-02-18,33.0
2012-02-19,55.0
2012-02-20,56.0
2012-02-21,61.0
2012-02-22,54.0
2012-02-23,51.0
2012-02-24,56.0
2012-02-25,38.0
2012-02-26,32.0
2012-02-27,57.0
2012-02-28,59.0
2012-02-29,68.0
2012-03-01,48.0
2012-03-02,54.0
2012-03-03,52.0
2012-03-04,49.0
2012-03-05,73.0
2012-03-06,79.0
2012-03-07,49.0
2012-03-08,54.0
2012-03-09,53.0
2012-03-10,47.0
2012-03-11,43.0
2012-03-12,55.0
2012-03-13,74.0
2012-03-14,49.0
2012-03-15,59.0
2012-03-16,68.0
2012-03-17,43.0
2012-03-18,35.0
2012-03-19,62.0
2012-03-20,59.0
2012-03-21,62.0
2012-03-22,51.0
2012-03-23,51.0
2012-03-24,50.0
2012-03-25,51.0
2012-03-26,60.0
2012-03-27,62.0
2012-03-28,58.0
2012-03-29,56.0
2012-03-30,52.0
2012-03-31,42.0
2012-04-01,29.0
2012-04-02,43.0
2012-04-03,49.0
2012-04-04,54.0
2012-04-05,37.0
2012-04-06,62.0
2012-04-07,45.0
2012-04-08,36.0
2012-04-09,55.0
2012-04-10,65.0
2012-04-11,61.0
2012-04-12,77.0
2012-04-13,52.0
2012-04-14,41.0
2012-04-15,37.0
2012-04-16,61.0
2012-04-17,55.0
2012-04-18,70.0
2012-04-19,52.0
2012-04-20,59.0
2012-04-21,32.0
2012-04-22,43.0
2012-04-23,62.0
2012-04-24,50.0
2012-04-25,60.0
2012-04-26,64.0
2012-04-27,51.0
2012-04-28,29.0
2012-04-29,28.0
2012-04-30,28.0
2012-05-01,38.0
2012-05-02,54.0
2012-05-03,53.0
2012-05-04,57.0
2012-05-05,41.0
2012-05-06,36.0
2012-05-07,51.0
2012-05-08,69.0
2012-05-09,65.0
2012-05-10,60.0
2012-05-11,49.0
2012-05-12,43.0
2012-05-13,39.0
2012-05-14,48.0
2012-05-15,100.0
2012-05-16,56.0
2012-05-17,49.0
2012-05-18,52.0
2012-05-19,42.0
2012-05-20,36.0
2012-05-21,57.0
2012-05-22,51.0
2012-05-23,46.0
2012-05-24,44.0
2012-05-25,45.0
2012-05-26,44.0
2012-05-27,29.0
2012-05-28,58.0
2012-05-29,59.0
2012-05-30,66.0
2012-05-31,44.0
2012-06-01,37.0
2012-06-02,45.0
2012-06-03,34.0
2012-06-04,42.0
2012-06-05,45.0
