date,dau tu
2026-01-01,53.0
2026-01-02,56.0
2026-01-03,50.0
2026-01-04,55.0
2026-01-05,66.0
2026-01-06,68.0
2026-01-07,77.0
2026-01-08,59.0
2026-01-09,56.0
2026-01-10,58.0
2026-01-11,50.0
2026-01-12,59.0
2026-01-13,100.0
2026-01-14,82.0
2026-01-15,72.0
2026-01-16,71.0
2026-01-17,68.0
2026-01-18,59.0
2026-01-19,80.0
2026-01-20,58.0
2026-01-21,71.0
2026-01-22,61.0
2026-01-23,54.0
2026-01-24,52.0
2026-01-25,54.0
2026-01-26,65.0
2026-01-27,64.0
2026-01-28,66.0
2026-01-29,58.0
2026-01-30,61.0
2026-01-31,32.0
2026-02-01,36.0
2026-02-02,64.0
2026-02-03,68.0
2026-02-04,59.0
2026-02-05,51.0
2026-02-06,51.0
2026-02-07,52.0
2026-02-08,38.0
2026-02-09,51.0
2026-02-10,56.0
2026-02-11,48.0
2026-02-12,56.0
2026-02-13,44.0
2026-02-14,19.0
2026-02-15,37.0
2026-02-16,23.0
2026-02-17,54.0
2026-02-18,46.0
2026-02-19,38.0
2026-02-20,39.0
2026-02-21,52.0
2026-02-22,56.0
2026-02-23,66.0
2026-02-24,71.0
2026-02-25,68.0
2026-02-26,69.0
2026-02-27,68.0
2026-02-28,50.0
2026-03-01,39.0
2026-03-02,70.0
2026-03-03,59.0
2026-03-04,72.0
2026-03-05,64.0
2026-03-06,63.0
2026-03-07,42.0
2026-03-08,52.0
2026-03-09,86.0
2026-03-10,76.0
2026-03-11,65.0
2026-03-12,70.0
2026-03-13,75.0
2026-03-14,60.0
2026-03-15,44.0
2026-03-16,65.0
2026-03-17,74.0
2026-03-18,59.0
2026-03-19,68.0
2026-03-20,57.0
2026-03-21,46.0
2026-03-22,58.0
2026-03-23,66.0
2026-03-24,68.0
2026-03-25,64.0
2026-03-26,66.0
2026-03-27,65.0
2026-03-28,54.0
2026-03-29,53.0
2026-03-30,66.0
2026-03-31,63.0
