date,close,return,target,SVI,SVI_pos,SVI_neg
2026-01-06,1816.27,1.5463582163969936,0.5815119271629403,3.2653512260288884,5.049402697791768,-0.0
2026-01-07,1861.58,2.4640641960077527,1.6798326756311774,5.108193814533041,12.586917484659134,-0.0
2026-01-08,1855.56,-0.32390522085337015,1.384860106857304,5.189377521518489,0.0,1.6808664721989608
2026-01-09,1867.9,0.6628267889917999,0.9935212297636786,5.246393419802666,3.4774501042355093,-0.0
2026-01-12,1877.33,0.5035749434752947,0.5030084313095194,2.498867593495543,1.258367107146764,-0.0
2026-01-13,1902.93,1.3544248994366828,1.2044447428090617,4.123479957348406,5.5849439265607925,-0.0
2026-01-14,1894.44,-0.44715232627415585,2.8857034610336236,6.2579118237056965,0.0,2.7982398295885473
2026-01-15,1864.8,-1.5769471610088424,1.7092433307810433,6.488841334970927,0.0,10.23255992141923
2026-01-16,1879.13,0.7655095035789499,0.9766648333782241,6.319953794863642,4.837984692147967,-0.0
2026-01-19,1896.59,0.9248633085328802,0.7752669851333674,2.867904660715577,2.652419793066276,-0.0
2026-01-20,1893.78,-0.1482705126304503,1.1646110047518234,4.002660269502216,0.0,0.5934764900446299
2026-01-21,1885.44,-0.4413616322205046,1.657628086350312,5.445623452683332,0.0,2.4034892555345753
2026-01-22,1882.73,-0.14383642283786618,1.0741853606665481,4.872714306803189,0.0,0.7008737954014636
2026-01-23,1870.79,-0.6362049635153189,1.0210838553931092,4.722022276148937,0.0,3.004174009915858
2026-01-26,1843.72,-1.4575531761312237,1.8803822564447992,2.141129765842772,0.0,3.120810490713236
2026-01-27,1830.5,-0.7196116209021162,0.6433598023383708,3.701962109054092,0.0,2.663974953814632
2026-01-28,1802.91,-1.5187127408183252,2.296021912428889,5.394492828140172,0.0,8.192684988349558
2026-01-29,1814.98,0.6672422202384128,0.33965905407955155,5.555930345029708,3.7071512989075934,-0.0
2026-01-30,1829.04,0.7716790671479898,0.7776051035283493,5.342535661315984,4.122722935329188,-0.0
2026-02-02,1806.5,-1.239996743827681,3.492316297719383,1.9943864404802183,0.0,2.47303269212955
2026-02-03,1813.4,0.3812264624260815,0.6867145704487448,3.4026372635102615,1.2971753668871795,-0.0
2026-02-04,1791.43,-1.2189352632509445,1.103487304499423,5.0633115334980205,0.0,6.171848977005953
2026-02-05,1782.56,-0.4963650268440009,0.44804637213004583,4.575889131625051,0.0,2.271311331654241
2026-02-06,1755.49,-1.5302513101540822,1.0297276332801117,4.494761852146291,0.0,6.878115213077451
2026-02-09,1754.82,-0.03817326721207861,0.49302519979999077,1.6874898270395144,0.0,0.0644170000852437
2026-02-10,1754.03,-0.04502899886563433,1.9614085769651715,2.5734717836159997,0.0,0.1158808580251868
2026-02-11,1796.85,2.4119134296761184,1.0369817620922814,3.5907719548310646,8.660631100761414,-0.0
2026-02-12,1814.09,0.9548832711351506,0.17173679701083613,3.4665034070227967,3.3101061126990725,-0.0
2026-02-13,1824.09,0.5497267965456978,1.4440870493839824,3.078482477325249,1.6923243104820727,-0.0
2026-02-23,1860.14,1.9570521169637736,0.47057650216033514,2.16598051218251,4.23893674666906,-0.0
2026-02-24,1867.62,0.4013139278794451,0.4371425175748927,3.63468720379306,1.4586505983673501,-0.0
2026-02-25,1860.91,-0.359927759405991,0.4281812431766411,5.264831412293147,0.0,1.8949589738769517
2026-02-26,1879.64,1.001465374923375,0.3939136913988101,5.257985643470235,5.265690563779643,-0.0
2026-02-27,1880.33,0.03670242091002225,1.8304472486119954,5.510382358285562,0.20224437268895773,-0.0
2026-03-02,1846.1,-1.837198755844073,1.4113294504369873,2.8029120366759592,0.0,5.149506506521449
2026-03-03,1813.14,-1.8015156925769178,1.1732062709541284,4.427363563956919,0.0,7.9759649372116606
2026-03-04,1818.27,0.2825350710916066,6.563547775522641,6.236213864940129,1.761949127673322,-0.0
2026-03-05,1808.51,-0.5382197740514322,1.7348179810989492,6.231330467509724,0.0,3.353825276262889
2026-03-06,1767.84,-2.274483945629132,1.0974186909187118,6.1414946618234145,0.0,13.96873101048437
2026-03-09,1652.79,-6.729369335661311,5.0767052258362,4.256331044822891,0.0,28.64242361545443
2026-03-10,1676.73,1.4380699063868967,7.321025140703066,6.6779198426394215,9.603315562963672,-0.0
2026-03-11,1728.34,3.0315942196574985,1.453675534563126,8.518052936326653,25.82328004450446,-0.0
2026-03-12,1709.61,-1.0896135959386548,0.9104726097526408,7.477218872812962,0.0,8.147279343626106
2026-03-13,1696.24,-0.7851237535014176,1.3569478188863566,6.442690349283576,0.0,5.058309229676881
2026-03-16,1693.21,-0.1787901168118135,1.1228027157808032,2.8709502010683026,0.0,0.5132975218099013
2026-03-17,1710.29,1.0036811154935943,0.9300886777964994,4.091159895275896,4.106219927353168,-0.0
2026-03-18,1713.83,0.20676852804341894,4.12630789511467,6.100229516949739,1.261335477946714,-0.0
2026-03-19,1699.13,-0.8614276699373676,1.8248947765083954,6.11550123072917,0.0,5.268061975686133
2026-03-20,1647.81,-3.0669221781440643,5.292241340511579,6.090275680006807,0.0,18.6784015540243
2026-03-23,1591.17,-3.497753889402757,2.524154327123684,2.8651935764005287,0.0,10.021741975746744
2026-03-24,1614.77,1.4722936987411475,1.2719013712339318,4.510509197810284,6.640794270050068,-0.0
2026-03-25,1658.19,2.653411437418849,0.7358725416672819,6.045631426791371,16.04154757426706,-0.0
2026-03-26,1644.63,-0.8211211140190056,0.943258636146187,5.700306196306062,0.0,4.680641774160274
2026-03-27,1672.8,1.6983434226308805,0.8096732169148418,5.426214250403304,9.215575281958404,-0.0
2026-03-30,1662.54,-0.6152315723479423,1.7314899277684284,2.2742999324496846,0.0,1.3992211234318386
2026-03-31,1674.49,0.7162087893562965,0.35799051338426174,3.6150080507202134,2.589100539519589,-0.0
